id,strand,year,authors,title,venue,doi,oa_url,oa_status,finding
B02,B,2011,"Valentine, J.C.; Hirschy, A.S.; Bremer, C.D.; Novillo, W.; Castellano, M.; Banister, A.","Keeping at-risk students in school: A systematic review of college retention programs","Educational Evaluation and Policy Analysis 33(2)",10.3102/0162373711398126,,paywalled,"Small positive effects; comprehensive programs larger"
B03,B,2013,"Larsen, M.S.; Kornbeck, K.P.; Kristensen, R.M.; Larsen, M.R.; Sommersel, H.B.","Dropout phenomena at universities: What is dropout? Why does dropout occur? What can be done?","Danish Clearinghouse for Educational Research",,https://edu.au.dk/fileadmin/edu/Udgivelser/Clearinghouse/Review/Evidence_on_dropout_from_universities_technical_report_May_2013.pdf,OA,"Systematic review of European evidence"
B04,B,2013,"Quinn, J.","Drop-out and completion in higher education in Europe among students from under-represented groups","NESET report, European Commission",,https://edudoc.ch/record/110174?ln=en,OA,"Low-SES students most likely to drop out"
B05,B,2014,"Heublein, U.","Student drop-out from German higher education institutions","European Journal of Education 49(4):497-513",10.1111/ejed.12097,,paywalled,"~28% bachelor dropout in Germany"
B06,B,2015,"Vossensteyn, H.; Kottmann, A.; Jongbloed, B.; et al.","Dropout and completion in higher education in Europe: Main report (HEDOCE)","European Commission/CHEPS/NIFU",,https://op.europa.eu/en/publication-detail/-/publication/4deeefb5-0dcd-11e6-ba9a-01aa75ed71a1/language-en,OA,"35-country policy inventory; few rigorous evaluations"
B07,B,2016,"Aljohani, O.","A review of the contemporary international literature on student retention in higher education","Int. J. of Education and Literacy Studies 4(1):40-52",,https://files.eric.ed.gov/fulltext/EJ1149286.pdf,OA,"Institutional experience and integration most influential"
B08,B,2016,"Aljohani, O.","A comprehensive review of the major studies and theoretical models of student retention in higher education","Higher Education Studies 6(2)",,https://files.eric.ed.gov/fulltext/EJ1092026.pdf,OA,"Compares classic retention models"
B09,B,2017,"Heublein, U.; Ebert, J.; Hutzsch, C.; Isleib, S.; Koenig, R.; Richter, J.; Woisch, A.","Zwischen Studienerwartungen und Studienwirklichkeit","DZHW Forum Hochschule 1/2017",,https://www.dzhw.eu/pdf/pub_fh/fh-201701.pdf,OA,"German dropout causes, destinations and rates"
B10,B,2017,"Manyanga, F.; Sithole, A.; Hanson, S.M.","Comparison of student retention models in undergraduate education from the past eight decades","J. of Applied Learning in Higher Education 7:30-42",,https://files.eric.ed.gov/fulltext/EJ1188373.pdf,OA,"Historical comparison of retention models"
B11,B,2017,"Kumar, M.; Singh, A.J.; Handa, D.","Literature survey on educational dropout prediction","Int. J. of Education and Management Engineering 7(2):8-19",,https://www.mecs-press.org/ijeme/ijeme-v7-n2/v7n2-2.html,OA (verify),"Survey of data-mining dropout prediction"
B12,B,2018,"Sneyers, E.; De Witte, K.","Interventions in higher education and their effect on student success: a meta-analysis","Educational Review 70(2):208-228",10.1080/00131911.2017.1300874,https://www.tandfonline.com/doi/full/10.1080/00131911.2017.1300874,verify,"Probation -; mentoring +; need-based grants small +"
B13,B,2019,"Kehm, B.M.; Larsen, M.R.; Sommersel, H.B.","Student dropout from universities in Europe: A review of empirical literature","Hungarian Educational Research Journal 9(2):147-164",verify,https://real.mtak.hu/132512/,OA,"44 studies; dropout vs transfer distinction"
B14,B,2019,"Neugebauer, M.; Heublein, U.; Daniel, A. (verify)","Studienabbruch in Deutschland: Ausmass, Ursachen, Folgen, Praeventionsmoeglichkeiten","Zeitschrift fuer Erziehungswissenschaft",10.1007/s11618-019-00904-1,https://link.springer.com/article/10.1007/s11618-019-00904-1,verify,"German overview of dropout"
B15,B,2020,"Tight, M.","Student retention and engagement in higher education","Journal of Further and Higher Education 44(5):689-704",10.1080/0309877X.2019.1576860,https://eprints.lancs.ac.uk/id/eprint/131095/1/tight.pdf,OA (repository),"Retention and engagement as two lenses on one issue"
B16,B,2020,"Behr, A.; Giese, M.; Teguim Kamdjou, H.D.; Theune, K.","Dropping out of university: a literature review","Review of Education 8(2):614-652",10.1002/rev3.3202,,verify,"System, institution and student-level determinants"
B17,B,2020,"Alyahyan, E.; Dustegor, D.","Predicting academic success in higher education: literature review and best practices","IJETHE 17:3",10.1186/s41239-020-0177-7,https://link.springer.com/article/10.1186/s41239-020-0177-7,OA,"Guidelines for success prediction"
B18,B,2021,"de Oliveira, C.F.; Sobral, S.R.; Ferreira, M.J.; Moreira, F.","How does learning analytics contribute to prevent students' dropout in higher education: a systematic literature review","Big Data and Cognitive Computing 5(4):64",10.3390/bdcc5040064,https://doaj.org/article/a535ad2795ed43598748c51d22a8f307,OA,"SLR of LA for dropout prevention"
B19,B,2022,"Shafiq, D.A.; Marjani, M.; Habeeb, R.A.A.; Asirvatham, D.","Student retention using educational data mining and predictive analytics: a systematic literature review","IEEE Access 10:72480-72503",10.1109/ACCESS.2022.3188767,https://doi.org/10.1109/ACCESS.2022.3188767,OA (gold journal; DOI link),"Review of EDM/LA retention prediction"
B20,B,2024,"Rahmani, A.M.; Groot, W.; Rahmani, H.","Dropout in online higher education: a systematic literature review","IJETHE 21:19",10.1186/s41239-024-00450-9,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-024-00450-9,OA,"110 studies; online dropout risk factors"
C01,C,2003,"Dynarski, S.M.","Does aid matter? Measuring the effect of student aid on college attendance and completion","American Economic Review 93(1):279-288",10.1257/000282803321455287,https://users.nber.org/~dynarski/2003%20Aid%20Matter.pdf,OA,"Loss of SS student benefit cut attendance and completion"
C02,C,2009,"Angrist, J.; Lang, D.; Oreopoulos, P.","Incentives and services for college achievement: Evidence from a randomized trial","AEJ: Applied 1(1):136-163",10.1257/app.1.1.136,https://oreopoulos.faculty.economics.utoronto.ca/wp-content/uploads/2014/03/Incentives-And-Services-For-College-Achievement.pdf,OA,"Services+incentives helped women only"
C03,C,2010,"Lindo, J.M.; Sanders, N.J.; Oreopoulos, P.","Ability, gender, and performance standards: Evidence from academic probation","AEJ: Applied 2(2):95-117",10.1257/app.2.2.95,https://njsanders.human.cornell.edu/Probation_AEJ_App.pdf,OA,"Probation induces some dropout; raises GPA of stayers"
C04,C,2011,"Walton, G.M.; Cohen, G.L.","A brief social-belonging intervention improves academic and health outcomes of minority students","Science 331:1447-1451",10.1126/science.1198364,https://orsl.usc.edu/wp-content/uploads/2022/10/Walton-Cohen_2011-belonging-intervention.pdf,OA copy 3rd-party,"Belonging exercise halved racial GPA gap"
C05,C,2012,"De Paola, M.; Scoppa, V.; Nistico, R.","Monetary incentives and student achievement in a depressed labor market: Results from a randomized experiment","Journal of Human Capital 6(1):56-85",10.1086/664795,,paywalled,"Rewards help high-ability students only"
C06,C,2014,"Bettinger, E.P.; Baker, R.B.","The effects of student coaching: An evaluation of a randomized experiment in student advising","EEPA 36(1):3-19",10.3102/0162373713500523,https://edpolicyinca.org/sites/default/files/2023-11/bettinger-effectsstudentcoaching-2014.pdf,OA,"Coaching raised retention and completion"
C07,C,2015,"Scrivener, S.; Weiss, M.J.; Ratledge, A.; Rudd, T.; Sommo, C.; Fresques, H.","Doubling graduation rates: Three-year effects of CUNY's ASAP for developmental education students","MDRC",,https://www.mdrc.org/sites/default/files/doubling_graduation_rates_fr.pdf,OA,"ASAP nearly doubled 3-year graduation"
C08,C,2015,"Castleman, B.L.; Page, L.C.","Summer nudging: Can personalized text messages and peer mentor outreach increase college going among low-income high school graduates?","JEBO 115:144-160",10.1016/j.jebo.2014.12.008,,paywalled,"Texts reduce summer melt"
C09,C,2015,"Arnold, I.J.M.","The effectiveness of academic dismissal policies in Dutch university education: an empirical investigation","Studies in Higher Education 40(6):1068-1084",10.1080/03075079.2013.858684,https://repub.eur.nl/pub/76454,repository (verify),"BSA: +6-7% first-year dropout, +5-9% survivor completion"
C10,C,2015,"Bailey, T.R.; Jaggars, S.S.; Jenkins, D.","Redesigning America's Community Colleges: A Clearer Path to Student Success","Harvard University Press",10.4159/9780674425934,,paywalled,"Guided pathways model"
C11,C,2016,"Goldrick-Rab, S.; Kelchen, R.; Harris, D.N.; Benson, J.","Reducing income inequality in educational attainment: Experimental evidence on the impact of financial aid on college completion","American Journal of Sociology 121(6):1762-1817",10.1086/685442,https://saragoldrickrab.com/wp-content/uploads/2023/06/Goldrick-Rab-et-al-2016-Reducing-Income-Inequality-in-Educational-Attainment.pdf,OA (author),"Random need-based grant raised BA completion"
C12,C,2016,"Castleman, B.L.; Long, B.T.","Looking beyond enrollment: The causal effect of need-based grants on college access, persistence, and graduation","Journal of Labor Economics 34(4):1023-1073",10.1086/686643,https://www.nber.org/papers/w19306,OA (NBER WP),"$1000 grant: +4.6pp BA in 6 years"
C13,C,2016,"Logue, A.W.; Watanabe-Rose, M.; Douglas, D.","Should students assessed as needing remedial mathematics take college-level quantitative courses instead? A randomized controlled trial","EEPA 38(3):578-598",verify,https://ies.ed.gov/ncee/wwc/Docs/SingleStudyReviews/wwc_logue_031318.pdf,paywalled (WWC summary OA),"Corequisite stats +16pp pass rate"
C14,C,2016,"Yeager, D.S.; Walton, G.M.; Brady, S.T.; et al.","Teaching a lay theory before college narrows achievement gaps at scale","PNAS 113(24):E3341-E3348",10.1073/pnas.1524360113,https://web.stanford.edu/~paunesku/articles/yeager_2016-pnas.pdf,OA,"Pre-college lay-theory modules raised full-time enrollment"
C15,C,2017,"Sneyers, E.; De Witte, K.","The effect of an academic dismissal policy on dropout, graduation rates and student satisfaction. Evidence from the Netherlands","Studies in Higher Education 42(2):354-389",10.1080/03075079.2015.1049143,,paywalled,"BSA raises early dropout and graduation"
C16,C,2017,"Page, L.C.; Gehlbach, H.","How an artificially intelligent virtual assistant helps students navigate the road to college","AERA Open 3(4)",10.1177/2332858417749220,https://files.eric.ed.gov/fulltext/EJ1194134.pdf,OA,"GSU Pounce chatbot: +3.3pp enrollment"
C17,C,2017,"Dawson, S.; Jovanovic, J.; Gasevic, D.; Pardo, A.","From prediction to impact: evaluation of a learning analytics retention program","LAK '17:474-478",10.1145/3027385.3027405,https://www.research.ed.ac.uk/en/publications/from-prediction-to-impact-evaluation-of-a-learning-analytics-rete/,repository (verify),"LA retention effect vanishes under rigorous analysis"
C18,C,2018,"Broda, M.; Yun, J.; Schneider, B.; Yeager, D.S.; Walton, G.M.; Diemer, M.","Reducing inequality in academic success for incoming college students: A randomized trial of growth mindset and belonging interventions","JREE 11(3):317-338",10.1080/19345747.2018.1429037,"https://uploads-ssl.webflow.com/59faaf5b01b9500001e95457/5bc3d8c09f9d5c0fb16f0894_Broda,%20M.,%20Yun,%20J.,%20Schneider,%20B.,%20Yeager,%20D.%20S.,%20Walton,%20G.%20M.,%20&%20Diemer,%20M.%202018.pdf",OA copy 3rd-party,"Mindset +0.40 GPA for Latino/a students"
C19,C,2018,"Clotfelter, C.T.; Hemelt, S.W.; Ladd, H.F.","Multifaceted aid for low-income students and college outcomes: Evidence from North Carolina","Economic Inquiry 56(1):278-303",,https://www.nber.org/papers/w22217,OA (NBER WP),"Grants plus non-financial supports improve progress"
C20,C,2019,"Denning, J.T.; Marx, B.M.; Turner, L.J.","ProPelled: The effects of grants on graduation, earnings, and welfare","AEJ: Applied 11(3):193-224",10.1257/app.20180100,https://www.nber.org/papers/w23860,OA (NBER WP),"Pell aid raises completion and earnings"
C21,C,2019,"Weiss, M.J.; Ratledge, A.; Sommo, C.; Gupta, H.","Supporting community college students from start to degree completion: Long-term evidence from a randomized trial of CUNY's ASAP","AEJ: Applied 11(3):253-297",10.1257/app.20170430,http://ungated-research.s3.amazonaws.com/pdf/2879-AEJ%20Applied%20Economics-2019-3-Supporting_Community_College_Students_from_Start_to_Degree_Completion__Long-Term_Evidence_from_a_Randomized_Trial_of_CUNY's_ASAP.pdf,OA,"+18pp 3-yr and +10pp 6-yr graduation"
C22,C,2019,"Oreopoulos, P.; Petronijevic, U.","The remarkable unresponsiveness of college students to nudging and what we can learn from it","NBER WP 26059",,https://www.nber.org/system/files/working_papers/w26059/w26059.pdf,OA,"Nudges/coaching did not change academic outcomes"
C23,C,2020,"Evans, W.N.; Kearney, M.S.; Perry, B.; Sullivan, J.X.","Increasing community college completion rates among low-income students: Evidence from a randomized controlled trial evaluation of a case-management intervention","JPAM 39(4):930-965",10.1002/pam.22256,https://www.nber.org/papers/w24150,OA (NBER WP),"Case management raised completion esp. women"
C24,C,2020,"Miller, C.; Headlam, C.; Manno, M.; Cullinan, D.","Increasing community college graduation rates with a proven model: Three-year results from the ASAP Ohio demonstration","MDRC",,https://www.mdrc.org/sites/default/files/ASAP_OH_3yr_Impact_Report_1.pdf,OA,"ASAP replication nearly doubled degrees"
C25,C,2020,"Murphy, M.C.; Gopalan, M.; Carter, E.R.; Emerson, K.T.U.; Bottoms, B.L.; Walton, G.M.","A customized belonging intervention improves retention of socially disadvantaged students at a broad-access university","Science Advances 6:eaba4677",10.1126/sciadv.aba4677,https://www.science.org/doi/10.1126/sciadv.aba4677,OA,"Raised 2-year continuous enrollment for minority/first-gen"
C26,C,2021,"Bird, K.A.; Castleman, B.L.; Denning, J.T.; Goodman, J.; Lamberton, C.; Rosinger, K.O.","Nudging at scale: Experimental evidence from FAFSA completion campaigns","JEBO 183:105-128",,https://www.nber.org/papers/w26158,OA (NBER WP),"No effects at scale (800k students)"
C27,C,2021,"Rossman, D.; Alamuddin, R.; Kurzweil, M.; Karon, J.","MAAPS advising experiment: Evaluation findings after four years","Ithaka S+R",,https://sr.ithaka.org/publications/maaps-advising-experiment/,OA,"Multi-site RCT of proactive tech-enhanced advising"
C28,C,2022,"Plak, S.; Cornelisz, I.; Meeter, M.; van Klaveren, C.","Early warning systems for more effective student counselling in higher education: Evidence from a Dutch field experiment","Higher Education Quarterly 76(1):131-152",10.1111/hequ.12298,https://onlinelibrary.wiley.com/doi/full/10.1111/hequ.12298,verify,"EWS predicts well but counselling did not reduce dropout"
C29,C,2023,"Walton, G.M.; Murphy, M.C.; Logel, C.; Yeager, D.S.; Goyer, J.P.; Brady, S.T.; et al.","Where and with whom does a brief social-belonging intervention promote progress in college?","Science 380(6644):499-505",10.1126/science.ade4420,https://www.greggmuragishi.com/uploads/5/7/1/5/57150559/walton_et_al_2023.pdf,OA copy 3rd-party,"22 institutions; effect depends on opportunity to belong"
C30,C,2024,"Meyer, K.; Page, L.C.; Mata, C.; Smith, E.N.; Walsh, B.T.; et al.","Let's chat: Leveraging chatbot outreach for improved course performance","EdWorkingPaper 22-564",,https://edworkingpapers.com/ai22-564,OA,"Course chatbot +4pp A/B grades"
D01,D,2009,"Dekker, G.W.; Pechenizkiy, M.; Vleeshouwers, J.M.","Predicting students drop out: A case study","EDM 2009 Proceedings",,https://www.educationaldatamining.org/EDM2009/uploads/proceedings/dekker.pdf,OA,"Decision trees ~80% accuracy for EE dropout"
D02,D,2012,"Arnold, K.E.; Pistilli, M.D.","Course Signals at Purdue: Using learning analytics to increase student success","LAK '12:267-270",10.1145/2330601.2330666,,paywalled,"Early-alert traffic lights; retention claims later questioned (verify)"
D03,D,2014,"Jayaprakash, S.M.; Moody, E.W.; Lauria, E.J.M.; Regan, J.R.; Baron, J.D.","Early alert of academically at-risk students: An open source analytics initiative","Journal of Learning Analytics 1(1):6-47",,https://files.eric.ed.gov/fulltext/EJ1127037.pdf,OA,"Portable open-source risk models (OAAI)"
D04,D,2014,"Kloft, M.; Stiehler, F.; Zheng, Z.; Pinkwart, N.","Predicting MOOC dropout over weeks using machine learning methods","EMNLP 2014 Workshop on MOOCs:60-65",,https://aclanthology.org/W14-4111.pdf,OA,"Weekly clickstream features improve MOOC dropout prediction"
D05,D,2015,"Kurzweil, M.; Wu, D.D.","Building a pathway to student success at Georgia State University","Ithaka S+R case study",10.18665/sr.221053,https://sr.ithaka.org/wp-content/uploads/2015/08/SR_Case_Study_Building_Pathway_Student_Success_042315_0.pdf,OA,"GSU grad rate 32%->54% via predictive advising etc."
D06,D,2018,"Nagy, M.; Molontay, R.","Predicting dropout in higher education based on secondary school performance","IEEE INES 2018:389-394",10.1109/INES.2018.8523888,,paywalled,"Pre-entry data predict dropout"
D07,D,2019,"Gardner, J.; Brooks, C.; Baker, R.S.","Evaluating the fairness of predictive student models through slicing analysis","LAK '19:225-234",10.1145/3303772.3303791,https://learninganalytics.upenn.edu/ryanbaker/LAK_PAPER97_CAMERA.pdf,OA,"ABROCA fairness metric"
D08,D,2019,"Herodotou, C.; Hlosta, M.; Boroowa, A.; Rienties, B.; Zdrahal, Z.; Mangafa, C.","Empowering online teachers through predictive learning analytics","BJET 50(6):3064-3079",10.1111/bjet.12853,,verify,"OU Analyse use linked to better outcomes"
D09,D,2021,"Yu, R.; Lee, H.; Kizilcec, R.F.","Should college dropout prediction models include protected attributes?","L@S '21",10.1145/3430895.3460139,https://arxiv.org/abs/2103.15237,OA,"Including protected attributes does not hurt fairness"
D10,D,2021,"Bird, K.A.; Castleman, B.L.; Mabel, Z.; Song, Y.","Bringing transparency to predictive analytics: A systematic comparison of predictive modeling methods in higher education","AERA Open 7",10.1177/23328584211037630,https://journals.sagepub.com/doi/10.1177/23328584211037630,OA,"Simple ~ complex models; unstable risk ranks"
D11,D,2022,"Kizilcec, R.F.; Lee, H.","Algorithmic fairness in education","The Ethics of AI in Education (Routledge)",,https://arxiv.org/abs/2007.05443,OA (preprint),"Fairness concepts and bias sources in education"
D12,D,2022,"Baker, R.S.; Hawn, A.","Algorithmic bias in education","IJAIED 32(4):1052-1092",10.1007/s40593-021-00285-9,https://link.springer.com/article/10.1007/s40593-021-00285-9,verify,"Review of empirical algorithmic bias"
D13,D,2024,"Nagy, M.; Molontay, R.","Interpretable dropout prediction: towards XAI-based personalized intervention","IJAIED 34(2):274-300",verify,,verify,"XAI (SHAP) for personalized intervention"
D14,D,2024,"Bird, K.A.; Castleman, B.L.; Song, Y.","Are algorithms biased in education? Exploring racial bias in predicting community college student success","JPAM 44:379-402",10.1002/pam.22569,https://edworkingpapers.com/ai23-717,OA (WP),"Bias could underserve at-risk Black students"
D15,D,2024,"Gandara, D.; Anahideh, H.; Ison, M.P.; Picchiarini, L.","Inside the black box: Detecting and mitigating algorithmic bias across racialized groups in college student-success prediction","AERA Open",10.1177/23328584241258741,https://journals.sagepub.com/doi/10.1177/23328584241258741,OA,"Racial bias detection and mitigation"
E01,E,2010,"NPO NEWVERY (Yamamoto, S.)","中退白書2010 高等教育機関からの中退","NEWVERY",,,verify,"101 interviews; ~80k univ. dropouts/yr estimate"
E02,E,2013,"清水一 (Shimizu, H.? verify)","大学の偏差値と退学率・就職率に関する予備的分析―社会科学系学部のケース","大阪経大論集",,,verify,"Dropout rate varies with selectivity"
E03,E,2014,"文部科学省 MEXT","学生の中途退学や休学等の状況について","MEXT press release",,https://www.mext.go.jp/b_menu/houdou/26/10/__icsFiles/afieldfile/2014/10/08/1352425_01.pdf,OA,"Economic reasons 20.4% of dropouts (FY2012)"
E04,E,2014,"姉川恭子 (Anegawa, K.)","大学の学習・生活環境と退学率の要因分析","経済論究 149:1-16",,,verify,"Institution-level factors of dropout rates"
E05,E,2015,"労働政策研究・研修機構 JILPT","大学等中退者の就労と意識に関する研究 (調査シリーズNo.138)","JILPT",,https://www.jil.go.jp/institute/research/2015/documents/0138.pdf,OA,"Reasons and labour-market outcomes of dropouts"
E06,E,2015,"著者 verify","大学・短大中退が正社員就業と獲得賃金に与える効果の検討","社会学年報 44:71-81",10.11271/tss.44.71,https://www.jstage.jst.go.jp/article/tss/44/0/44_71/_article/-char/ja/,OA,"Dropouts: lower regular employment and wages"
E07,E,2016,"竹橋洋毅; 藤田敦; 杉本雅彦; 藤本昌樹; 近藤俊明","退学者予測におけるGPAと欠席率の貢献度","大学評価とIR 5:28-35",10.60422/jirue.5.0_28,https://www.jstage.jst.go.jp/article/jirue/5/0/5_28/_article/-char/ja/,OA,"GPA vs absence in dropout prediction"
E08,E,2016,"著者 verify","(高等教育の大衆化・学生の多様化と中退) title verify","高等教育研究 19:123-",,https://www.jstage.jst.go.jp/article/jaher/19/0/19_123/_pdf,OA,"Massification, diversity and dropout"
E09,E,2018,"著者 verify","中退予備状態から変化する学生のモデル化","教育システム情報学会 全国大会 F4-3",,https://www.jsise.org/taikai/2018/program/contents/pdf/F4-3.pdf,OA,"Modeling exit from pre-dropout state"
E10,E,2020,"白鳥成彦; 大石哲也; 田尻慎太郎; 森雅生; 室田真男","中退確率の遷移を用いた中退学生の類型化","日本教育工学会論文誌 44(1):11-22",10.15077/jjet.43072,https://www.jstage.jst.go.jp/article/jjet/44/1/44_43072/_article/-char/ja/,OA,"Dropout-probability trajectories clustered into types"
E11,E,,"著者 verify","機械学習を用いた退学予測に基づくエンロールメントマネジメントシステムの構築","情報処理学会 デジタルプラクティス",,https://www.ipsj.or.jp/dp/contents/publication/54/TR0402-02.html,verify,"ML dropout prediction for enrollment management"
E12,E,,"著者 verify","大学等中退者への支援を中退理由から考える","生活協同組合研究 493:33-",,https://www.jstage.jst.go.jp/article/consumercoopstudies/493/0/493_33/_article/-char/ja/,OA,"Support needs by dropout reason"
E13,E,2024,"文部科学省 MEXT","令和5年度 学生の中途退学・休学等の状況","MEXT",,https://www.mext.go.jp/content/20240627-mxt_gakushi01-000013028_1.pdf,OA,"Recent national dropout/leave statistics"
E14,E,2024,"村澤康友 (Murasawa, Y.)","大学中退の逐次意思決定モデルの構造推定","MPRA Paper 118183",,https://mpra.ub.uni-muenchen.de/118183/,OA,"Structural dynamic model of dropout decision"
