country,indicator,cohort_or_year,value,unit,status,source
USA,NSC 6-year completion rate (any credential any institution),2018,61.1,%,V,https://www.highereddive.com/news/national-college-completion-rises-clearinghouse/734508/
USA,NSC 6-year completion rate (any credential any institution),2019,61.1,%,V,https://www.studentclearinghouse.org/news/college-completion-rates-hold-steady-at-recent-highs/
USA,Some College No Credential (million persons),2018,36.0,million,V (under 65),https://files.eric.ed.gov/fulltext/ED599535.pdf
USA,Some College No Credential (million persons),2021,40.4,million,V (all ages),https://nscresearchcenter.org/wp-content/uploads/SCNCReport2023.pdf
USA,Some College No Credential (million persons),2022,36.8,million,V (working-age redefined),https://nscresearchcenter.org/wp-content/uploads/SCNCReport2024.pdf
USA,Some College No Credential (million persons),2023,37.6,million,V (working-age),https://nscresearchcenter.org/wp-content/uploads/SCNCReport2025.pdf
UK,HESA young full-time first degree non-continuation after year 1,2013,6.0,%,V,https://www.timeshighereducation.com/news/uk-university-dropout-rate-rises-third-year-row
UK,HESA young full-time first degree non-continuation after year 1,2014,6.2,%,V,https://www.timeshighereducation.com/news/uk-university-dropout-rate-rises-third-year-row
UK,HESA young full-time first degree non-continuation after year 1,2015,6.4,%,V,https://www.timeshighereducation.com/news/uk-university-dropout-rate-rises-third-year-row
UK,HESA full-time first degree non-continuation after year 1,2019,5.3,%,V?,https://www.hesa.ac.uk/data-and-analysis/performance-indicators/non-continuation/table-t3
Germany,DZHW bachelor dropout rate (Studienabbruchquote),2020,28,%,UNVERIFIED,https://www.dzhw.eu
France,licence success in 3 years,2020,30,%,UNVERIFIED,https://www.enseignementsup-recherche.gouv.fr
Australia,adjusted attrition domestic bachelor commencing,2019,15,%,UNVERIFIED,https://www.education.gov.au
Korea,annual in-course dropout rate,2023,5,%,UNVERIFIED,https://www.academyinfo.go.kr
Colombia,SPADIES university cohort dropout by 10th semester,2019,45,%,UNVERIFIED,https://www.mineducacion.gov.co
Japan,MEXT annual dropout rate (univ+junior college+KOSEN),2007,2.41,%,要確認,https://www.mext.go.jp/b_menu/houdou/26/10/__icsFiles/afieldfile/2014/10/08/1352425_01.pdf
Japan,MEXT annual dropout rate (univ+junior college+KOSEN),2012,2.65,%,V,https://www.mext.go.jp/b_menu/houdou/26/10/__icsFiles/afieldfile/2014/10/08/1352425_01.pdf
Japan,MEXT annual dropout rate (univ+junior college+KOSEN),2019,2.50,%,要確認,https://www.kyoiku-press.com/post-245002/
Japan,MEXT annual dropout rate (univ+junior college+KOSEN),2021,1.95,%,V,https://www.mext.go.jp/content/20220603-mxt_kouhou01-000004520_01.pdf
Japan,MEXT annual dropout rate (incl. graduate schools),2022,2.09,%,V,https://www.nikkei.com/article/DGXZQOUE23AMW0T20C23A6000000/
Japan,MEXT annual dropout rate (incl. graduate schools),2023,2.17,%,V (逆算),https://www.mext.go.jp/content/20240627-mxt_gakushi01-000013028_1.pdf
Japan,MEXT annual dropout rate (incl. graduate schools),2024,2.10,%,V,https://www.kyobun.co.jp/article/2025082205
Japan,MEXT annual dropout rate (university only),2024,2.00,%,V,https://www.kyobun.co.jp/article/2025082205
Japan,Yomiuri 4-year dropout rate (2014 entrants),2014,7,%,要確認,https://hataractive.jp/useful/131/
Japan,MEXT dropout reason share: economic,2012,20.4,%,V,https://www.mext.go.jp/b_menu/houdou/26/10/__icsFiles/afieldfile/2014/10/08/1352425_01.pdf
Japan,MEXT dropout reason share: economic,2022,13.1,%,V,https://www.mext.go.jp/content/20230622-mxt_gakushi01-1269672_01.pdf.pdf
Japan,MEXT dropout reason share: economic,2024,13.2,%,V,https://www.mext.go.jp/content/20250822-mxt_gakushi01-000013028_2.pdf
Japan,MEXT dropout reason share: transfer/career change,2012,15.4,%,V,https://www.mext.go.jp/b_menu/houdou/26/10/__icsFiles/afieldfile/2014/10/08/1352425_01.pdf
Japan,MEXT dropout reason share: transfer/career change,2022,17.8,%,V,https://www.mext.go.jp/content/20230622-mxt_gakushi01-1269672_01.pdf.pdf
Japan,MEXT dropout reason share: transfer/career change,2024,22.3,%,V,https://www.mext.go.jp/content/20250822-mxt_gakushi01-000013028_2.pdf
